"admin_area_1","admin_area_2","year","danc1_pregnancy","danc1_livebirth","u5mr_used","dchildren_12to59","dchildren_6to23","dchildren_6to59","dchildren_0to59"
"ng Federal Government","kd Kaduna State",2020,699938.31075525,670389.277787345,0.105,2399993.6144787,899997.605429511,2699992.81628853,2999992.01809837
"ng Federal Government","kd Kaduna State",2021,660895.090235182,632994.330254473,0.105,2266119.70231101,849794.88836663,2549384.66509989,2832649.62788877
"ng Federal Government","kd Kaduna State",2022,597171.321935497,571960.764364618,0.105,2047619.53642533,767857.3261595,2303571.9784785,2559524.42053167
"ng Federal Government","kd Kaduna State",2023,572302.038407883,548141.378045878,0.105,1962346.13340424,735879.800026591,2207639.40007977,2452932.6667553
"ng Federal Government","kd Kaduna State",2024,641231.227697099,614160.60962102,0.105,2198694.98244325,824510.61841622,2473531.85524866,2748368.72805407
"ng Federal Government","ke Kebbi State",2020,1271638.73015873,1217954.43515253,0.105,4360276.87784606,1635103.82919227,4905311.48757682,5450346.09730758
"ng Federal Government","ke Kebbi State",2021,396758.511071507,380008.705918967,0.105,1360431.1671899,510161.687696213,1530485.06308864,1700538.95898738
"ng Federal Government","ke Kebbi State",2022,372844.19653465,357103.973023515,0.105,1278432.22342418,479412.083784068,1438236.2513522,1598040.27928023
"ng Federal Government","ke Kebbi State",2023,370719.541880023,355069.014117028,0.105,1271147.07053896,476680.15145211,1430040.45435633,1588933.8381737
"ng Federal Government","ke Kebbi State",2024,389966.70334706,373503.625392157,0.105,1337142.97890392,501428.617088971,1504285.85126691,1671428.7236299
"ng Federal Government","kn Kano State",2020,1135765.04234212,1087816.87581906,0.105,3894384.41543223,1460394.15578709,4381182.46736126,4867980.51929028
"ng Federal Government","kn Kano State",2021,1565865.70339204,1499760.1386846,0.105,5369141.29649088,2013427.98618408,6040283.95855224,6711426.6206136
"ng Federal Government","kn Kano State",2022,1513616.88135017,1449717.08555312,0.105,5189987.16628018,1946245.18735507,5838735.5620652,6487483.95785022
"ng Federal Government","kn Kano State",2023,1458044.49961366,1396490.78219924,0.105,4999437.00027328,1874788.87510248,5624366.62530744,6249296.2503416
"ng Federal Government","kn Kano State",2024,1509144.95836272,1445433.95206005,0.105,5174653.54837498,1940495.08064062,5821485.24192186,6468316.93546873
"ng Federal Government","ko Kogi State",2020,127211.025009537,121840.604910897,0.105,436189.365581012,163571.012092879,490713.036278638,545236.706976265
"ng Federal Government","ko Kogi State",2021,182559.706266635,174852.651664548,0.105,625972.492959081,234739.684859655,704219.054578966,782465.616198851
"ng Federal Government","ko Kogi State",2022,205728.446005174,197043.285413117,0.105,705414.961778957,264530.610667109,793591.832001327,881768.702223697
"ng Federal Government","ko Kogi State",2023,295526.959881111,283050.80913147,0.105,1013321.89669066,379995.711258999,1139987.133777,1266652.37086333
"ng Federal Government","ko Kogi State",2024,223819.451245958,214370.549475473,0.105,767446.567122195,287792.462670823,863377.388012469,959308.208902743
"ng Federal Government","kt Katsina State",2020,725116.59044659,694504.615494739,0.105,2486326.52347117,932372.446301688,2797117.33890506,3107908.15433896
"ng Federal Government","kt Katsina State",2021,1344288.35622146,1287537.03921826,0.105,4609382.60040136,1728518.47515051,5185555.42545153,5761728.2505017
"ng Federal Government","kt Katsina State",2022,1370792.46555118,1312922.23451179,0.105,4700261.5995522,1762598.09983207,5287794.29949622,5875326.99944024
"ng Federal Government","kt Katsina State",2023,1340055.85688516,1283483.22171792,0.105,4594869.93375014,1723076.2251563,5169228.67546891,5743587.41718768
"ng Federal Government","kt Katsina State",2024,1448574.41816867,1387420.49562835,0.105,4966965.3743495,1862612.01538106,5587836.04614319,6208706.71793688
"ng Federal Government","kw Kwara State",2020,119689.571531187,114636.681811129,0.105,410399.320883844,153899.745331441,461699.235994324,512999.151104804
"ng Federal Government","kw Kwara State",2021,111084.544929407,106394.930387802,0.105,380893.850788332,142835.194045625,428505.582136874,476117.313485416
"ng Federal Government","kw Kwara State",2022,121332.490249493,116210.242046517,0.105,416032.666526529,156012.249947448,468036.749842345,520040.833158161
"ng Federal Government","kw Kwara State",2023,141358.20793092,135390.541520536,0.105,484698.13864352,181761.80199132,545285.40597396,605872.6733044
"ng Federal Government","kw Kwara State",2024,134443.93710326,128768.167869379,0.105,460990.040972377,172871.265364641,518613.796093924,576237.551215471
